type,id,name,cp,year_10143,year_09019,year_10148_BISM,year_10148_DA,year_10148_ESD,year_10148_ID,year_10148_NC,year_09119_BISM,year_09119_IDA,year_09119_NC,year_09119_ESDA,year_09119_AIDA,year_09119_MA,year_09119_ORA,year_09119_SA,year_09119_CPA,year_04295_IT,year_04297_ITA,year_04296_ITE,year_04271_ME,year_04222_ID,year_04234_IDE,year_04160_MSI,year_04224_MSIE,year_04273_MEME,year_04423_MAV,year_04406_MT,year_04404_MPP,year_04401_MISE,year_04402_MISA,year_04405_MIS
xbk,01157-1,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbk,01157-2,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbk,01158-1,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbk,02057-1,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbk,02064-1,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbk,02065-1,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbk,02066-1,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbk,02080-1,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbk,02081-1,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbk,02081-2,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbk,02092-1,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbk,03036-1,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbk,03037-1,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbk,03444-1,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbk,03519-1,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbk,08197-1,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbk,08157-1,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbk,08188-1,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbk,08196-1,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbk,08438-1,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbk,08440-1,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbk,08441-1,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbk,08442-1,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbk,08981-1,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbk,09034-1,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbk,09035-1,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbk,09036-1,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbk,09040-1,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbk,09209-1,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbk,09443-1,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbk,10051-1,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbk,10053-1,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbk,90839-1,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbk,91314-1,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbk,91315-1,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbk,91316-1,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbk,91317-1,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbk,91318-1,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbk,91320-1,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbk,91321-1,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbk,91322-1,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbk,91323-1,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbk,91324-1,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbk,91325-1,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbk,91780-1,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,21440,Management Skills,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,21506,International Business Capstone,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,21555,Introduction to Human Resource Management,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,21595,International Management Field Study,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,21999,Business Internship,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,22319,Financial Statement Analysis (Capstone),6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,22421,Management Decisions and Control,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
