31277,Routing and Switching Essentials,,6
31338,Network Servers,,6
35363,Stochastic Models,,6
35383,Programming for Mathematical Modelling and Data Analysis,,6
37255,Forensic Statistics,,6
41061,IT Professional Experience 1,,3
41062,IT Professional Experience 2,,3
41063,IT Professional Experience 3,,3
41064,IT Professional Experience 4,,3
41065,IT Experience Reflection,,6
41071,Work Integrated Learning 1,,6
41072,Work Integrated Learning 2,,6
41073,Work Integrated Learning 3,,6
41074,Work Integrated Learning 4,,6
41890,Applying Network Security,,6
41891,Cloud Computing Infrastructure,,6
41903,Internet Science,,6
41905,Software Defined Networks,,6
42036,Cyber Security for Mobile Platform,,6
42037,IoT Secority,,6
48033,Internet of Things,,6
48436,Digital Forensics,,6
48450,Real-time Operating Systems,,6
48730,Cyber Security,,6
59333,Advertising Strategies,,6
68315,Imaging Science,,6
68414,Advanced Mechanics,,6
70103,Ethics Law and Justice,,6
70104,Civil Practice,,6
70108,Public International Law,,6
70109,Evidence,,6
70114,Criminal Law and Procedure,,8
70211,Contracts,,8
70311,Torts,,8
70317,Real Property,,8
70327,Commercial Law,,6
70417,Corporate Law,,8
70517,Equity and Trusts,,8
70616,Australian Constitutional Law,,8
70617,Administrative Law,,8
71116,Remedies,,6
76002,Sports Law,,6
76003,Asian Law and Legal Systems,,6
76005,Islamic Law,,6
76007,International Human Rights Law,,6
76008,Jurisprudence,,6
76009,Introduction to Chinese Business Law,,6
76010,Disability and the Law,,6
76012,Criminology,,6
76013,World Trade Law,,6
76015,Labour Law,,6
76016,Advanced Revenue Law,,6
76019,Broadcasting and Telecommunications Regulation,,6
76020,Entertainment Law,,6
76022,Insurance Law,,6
76023,Deceptive Trade Practices and Product Liability,,6
76024,Environmental Law,,6
76025,International Organisations,,6
76027,Competition Law,,6
76030,Genetics and the Law,,6
76033,Animal Law and Policy in Australia,,6
76034,Law of Slavery and Human Trafficking,,6
76036,International Trade Law and the Environment,,6
76037,Advanced Criminal Law,,6
76038,Law and Mental Health,,6
76039,Jessup International Moot,,6
76040,Research Thesis,,6
76041,Climate Law and Carbon Markets,,6
76043,Building and Construction Law,,6
76045,Medicine and Law,,6
76047,Advanced Contracts,,6
76048,Citizenship and Immigration Law,,6
76052,Dispute Resolution Advocacy,,6
76056,Intellectual Property Commercialisation Overview,,6
76057,Judgment and the Rule of Law,,6
76063,Media Law,,6
76066,Children and the Law,,6
76068,Indigenous Peoples and the Law,,6
76069,Law and Justice Studies,,6
76070,Biomedical Law and Bioethics,,6
76074,Australian Civil Liberties Law,,6
76080,Finance Law,,6
76081,Gender and Law,,6
76084,Intellectual Property: Copyright and Designs,,6
76085,Intellectual Property: Trade Marks and Patents,,6
76086,Advanced Commercial Transactions,,6
76087,Workplace Health and Safety Law,,6
76088,Discrimination and the Law,,6
76089,Privacy and Surveillance Law,,6
76090,Research Methodology,,6
76091,Advanced Evidence,,6
76092,Advanced Property,,6
76093,Elder Law,,6
76094,Oxford International Intellectual Property Moot,,6
76095,Strategic Litigation Clinic,,6
76096,Experiential Research and Law,,6
76097,Local Internship,,6
76098,International Legal Internship,,6
76099,Applied Human Rights Fieldwork,,6
76105,Disruptive Technologies and the Law,,6
76106,"Technology Law, Policy and Ethics (Capstone 1)",,6
76107,"Applied Project in Law, Innovation, and Technology",,6
76108,International Law and Cultural Heritage,,6
76109,History and Theory of International Law,,6
76112,Australian Private International Law,,6
76115,Insolvency,,6
76212,Revenue Law,,6
76516,Family Law,,6
76517,Succession,,6
76521,Intellectual Property and Traditional Knowledge,,6
76801,Exchange Subject 1,,6
76802,Exchange Subject 2,,6
76803,Exchange Subject 3,,6
76804,Exchange Subject 4,,6
76900,Moot,,6
76902,Law and Literature,,6
76903,International Commercial Transactions,,6
76904,Price International Media Law Moot,,6
77715,Banking Law,,6
77794,International Environmental Law,,6
78008,Law of the Sea,,6
78013,Refugee Law and Practice,,6
78016,International Humanitarian Law,,6
78030,Criminal Sentencing Law,,6
78039,Wickedness and Vice,,6
78040,The Law and Education,,6
78042,Environmental Planning and Development Law,,6
79014,Applied Company Law,,6
79017,Taxation Law,,6
79605,International Business Transactions and the Law,,6
97510,Spanish Language and Culture 10,,8
976404,Contemporary Switzerland,,8
976451,Contemporary Spain,,8
21036,Managing Strategic Performance,,6
21037,Managing Employee Relations,,6
21129,Introduction to Strategy,,6
21227,Innovation and Entrepreneurship,,6
21228,Management Consulting,,6
21407,Strategic Human Resource Management,,6
21504,Management Capstone,,6
21505,Human Resource Management (Capstone),,6
21510,Managing People and Organisations,,6
21511,Global Operations and Supply Chain Management,,6
21512,Understanding Organisations: Theory and Practice,,6
21513,Business Ethics and Sustainability,,6
21591,Transnational Management,,6
22016,Ethics and Governance,,6
22107,Accounting for Business Decisions A,,6
22207,Accounting for Business Decisions B,,6
22240,International Accounting,,6
22320,Accounting for Business Combinations,,6
22321,Cost Management Systems,,6
22420,Accounting Standards and Regulations,,6
22566,Small Business Management and Accounting,,6
22567,Planning and Control for Small Business Enterprises,,6
22573,Innovation and Commercialisation,,6
22575,Accounting Processes and Applications,,6
24100,Applied Project in Marketing (Capstone),,6
24108,Marketing Foundations,,6
24202,Consumer Behaviour,,6
24210,Integrated Marketing Communications,,6
24211,Branding,,6
24212,Entrepreneurial Marketing,,6
24222,Marketing Channels,,6
24223,Product Innovation Marketing,,6
24224,Pricing Strategies and Tactics,,6
24331,International Marketing,,6
24415,Marketing Planning and Strategy,,6
24999,Business Internship,,6
31005,Advanced Data Analytics,,6
31075,Object-relational Databases,,6
31080,Interactive Media,,6
31097,IT Operations Management,,6
31100,Enterprise Development with .NET,,6
31102,Game Design Studio 1,,6
31103,Game Design Studio 2,,6
31241,3D Computer Animation,,6
31242,Advanced Internet Programming,,6
31243,Analytics Capstone B,,6
31245,Business Process and IT Strategy,,6
31247,Collaborative Business Processes,,6
31248,Games and Graphics Project,,6
31249,Computer Graphics Rendering Techniques,,6
31250,Introduction to Data Analytics,,6
31251,Data Structures and Algorithms,,6
31253,Database Programming,,6
31255,Finance and IT Professionals,,6
31256,Image Processing and Pattern Recognition,,6
31257,Information System Development Methodologies,,6
31258,Innovations for Global Relationship Management,,6
31260,Fundamentals of Interaction Design,,6
31262,Introduction to Computer Game Design,,6
31263,Introduction to Computer Game Development,,6
31264,Introduction to Computer Graphics,,6
31265,Communication for IT Professionals,,6
31266,Introduction to Information Systems,,6
31268,Web Systems,,6
31269,Business Requirements Modelling,,6
31271,Database Fundamentals,,6
31272,Project Management and the Professional,,6
31276,Networked Enterprise Architecture,,6
31280,Strategic IT Project,,6
31282,Systems Testing and Quality Management,,6
31285,Mobile Applications Development,,6
31482,Honours Project,,12
31489,Industry Study 1,,6
31490,Industry Study 2,,6
31748,Programming on the Internet,,6
31777,Advanced Interaction Design,,6
31927,Application Development in .NET,,6
32144,Technology Research Preparation,,6
32146,Data Visualisation and Visual Analytics,,6
32931,Technology Research Methods,,6
37131,Introduction to Linear Dynamical Systems,,6
37132,Introduction to Mathematical Analysis and Modelling,,6
37151,Introduction to Statistics,,6
37161,Probability and Random Variables,,6
37181,Discrete Mathematics,,6
